doi,altmetric_score,Full-text_change,Full-text_m1,abstract_change,abstract_m1,author_count,neutral_results,confirmatory_results,contradictory_results,new_results,extend_p,funded,influentialReferencesCount,num_hypo_tested,num_significant,p_val_range,pdf_change,pdf_m1,reading_score,real_p,real_p_sign,reference_background,reference_methodology,reference_result,references_count,sample_size,sentiment,subjectivity,tweets_within_month,univ_rank,published_within_year
10.1101/2020.07.07.20148239,1.5,0,0,-506,576,3,1,0,0,0,1,1,-1,0,0,0,-67,98,9.96,1,0,-1,-1,-1,0,0,0,0.323333333,5,0.900990099,0
10.1101/2020.07.07.20148338,3.1,0,0,-518,713,2,1,0,0,0,1,0,2,0,0,0,-95,181,40.38,1,0,6,2,0,19,0,0,0.262121212,6,2,0
10.1101/2020.07.07.20148361,98.38,0,0,-2469,3699,24,1,0,0,0,1,1,0,5,2,0.373,-158,688,12.3,0.001,-1,0,0,2,21,484,1,0.441260504,59,2,1
10.1101/2020.07.07.20148395,191.43,0,0,-2204,2672,117,1,0,0,0,0,0,-1,4,4,0,-1132,1474,12.87,0.001,-1,-1,-1,-1,107,466,0,0.391666667,47,2,1
10.1101/2020.07.07.20148478,37.65,0,0,-2070,2830,30,1,0,0,0,1,0,1,18,17,0.049,-538,1082,32.83,0.001,-1,7,0,0,62,100,1,0.646333333,73,0.594059406,1
10.1101/2020.07.07.20148510,8.95,0,0,-874,962,7,1,0,0,0,0,1,0,3,0,0,-186,240,19.4,0.1,0,4,3,0,38,0,0,0.453155616,17,2,1
10.1101/2020.07.07.20148551,4.5,0,0,-1160,1376,6,1,0,0,0,1,1,0,0,0,0,-199,498,32.12,1,0,0,0,0,48,0,0,0.397619048,9,2,1
10.1101/2020.07.08.191072,8.25,-50,80,-1012,1225,19,0,0,0,1,1,1,2,0,0,0,-302,394,23.7,1,0,13,15,3,42,0,1,0.547348485,16,2,1
10.1101/2020.07.08.192104,135.45,-331,521,-5061,6477,18,0,0,0,1,1,0,-1,0,0,0,-2336,2827,21.63,1,0,-1,-1,-1,70,0,0,0.481818182,175,2,1
10.1101/2020.07.08.193045,170.55,-208,280,-7232,7909,33,0,0,0,1,1,1,-1,29,23,0.0499,-1333,1598,27.83,0.0001,0,-1,-1,-1,55,13,1,0.345844156,175,2,0
10.1101/2020.07.08.193144,2.85,-46,93,-889,1038,3,0,0,0,1,1,1,0,0,0,0,-94,141,40.58,1,0,5,3,0,17,0,0,0.514285714,6,0.099009901,1
10.1101/2020.07.08.193672,64.7,-244,399,-2985,3731,10,0,0,0,1,1,0,0,3,2,0,-558,814,38.35,0.01,0,0,0,0,18,0,1,0.398863636,120,2,1
10.1101/2020.07.08.194084,3.5,-116,247,-1449,2101,14,0,0,0,1,1,1,21,0,0,0,-422,783,46.67,1,0,69,15,0,105,0,0,0.310909091,11,2,1
10.1101/2020.07.08.194456,18.25,-80,101,-1306,1589,22,0,0,0,1,1,1,7,0,0,0,-617,762,24.31,1,0,14,6,2,42,0,0,0.366190476,50,0.96039604,1
10.1101/2020.07.08.194613,3.6,20,156,-522,1036,17,0,0,0,1,1,0,0,0,0,0,-201,577,7.59,1,0,3,3,0,34,0,1,0.3859375,9,2,1
10.1101/2020.07.08.20137497,7.05,0,0,-871,1118,8,1,0,0,0,1,0,6,0,0,0,-163,278,43.02,1,0,9,0,0,28,0,0,0.351322751,16,2,0
10.1101/2020.07.08.20145078,1.25,0,0,-495,632,15,1,0,0,0,1,0,0,0,0,0,-61,109,36.22,1,0,11,4,1,21,0,1,0.497121212,6,2,1
10.1101/2020.07.08.20147371,11.15,0,0,-1457,1749,9,1,0,0,0,0,1,0,4,4,0,-220,367,40.48,0.0001,-1,6,1,1,11,100,1,0.614876033,24,2,1
10.1101/2020.07.08.20147561,20.6,0,0,-663,998,26,1,0,0,0,1,1,-1,0,0,0,78,288,19.81,1,0,-1,-1,-1,26,0,0,0.338452381,19,2,1
10.1101/2020.07.08.20148171,9.5,0,0,-754,970,9,1,0,0,0,0,1,1,13,10,0.86,-153,286,45.9,0.001,-1,3,0,0,31,3476,0,0.266666667,13,0.138613861,0
10.1101/2020.07.08.20148619,0.75,0,0,-586,735,2,1,0,0,0,1,0,0,0,0,0,-86,177,36.18,1,0,4,9,0,23,0,0,0.426031746,3,2,0
10.1101/2020.07.08.20148692,26.8,0,0,-2036,2360,7,1,0,0,0,1,0,0,0,0,0,-274,438,45.56,1,0,10,0,0,21,0,0,0.39,34,2,0
10.1101/2020.07.08.20148700,10.9,0,0,-843,1529,5,1,0,0,0,1,0,0,0,0,0,-149,267,70.13,1,0,2,0,0,4,0,0,0.85,25,2,0
10.1101/2020.07.08.20148718,39.2,0,0,-1790,2749,13,1,0,0,0,0,1,0,12,10,0.0999,-315,732,21.94,0.0001,-1,0,0,0,38,36,0,0.388020833,16,2,1
10.1101/2020.07.08.20148742,4.95,0,0,-756,815,3,1,0,0,0,1,0,0,3,3,0,-161,208,22.79,0.001,0,2,1,0,49,0,0,0.39537037,8,2,1
10.1101/2020.07.08.20148783,2.75,0,0,-1386,1637,12,1,0,0,0,1,1,0,5,3,0.01399,-380,578,33.25,1.00E-05,0,7,1,1,11,68,0,0.633333333,8,2,1
10.1101/2020.07.08.20148882,20,0,0,-1283,1542,7,1,0,0,0,1,1,-1,0,0,0,-387,496,45.76,1,0,-1,-1,-1,14,0,0,0.282575758,17,2,1
10.1101/2020.07.08.20148981,0.5,0,0,-405,466,4,1,0,0,0,1,0,0,1,0,0,-88,108,37.64,1,0,0,0,0,11,0,0,0.376325758,2,2,0
10.1101/2020.07.08.20149039,0.75,0,0,-419,583,3,1,0,0,0,1,0,-1,2,0,0,-80,134,5.32,0.5,0,-1,-1,-1,19,0,1,0.479365079,3,2,1
10.1101/2020.07.08.20149096,1.5,0,0,-1287,1520,5,1,0,0,0,1,0,0,4,4,0,-94,162,29.48,0.05,-1,0,0,0,13,103,1,0.458933081,8,2,1
10.1101/2020.07.08.20149146,2.35,0,0,-344,630,7,1,0,0,0,1,1,0,0,0,0,-43,160,23.6,1,0,0,0,0,30,0,0,0.346584264,5,2,0
10.1101/2020.07.08.20149161,1.25,0,0,-553,717,6,1,0,0,0,1,0,0,0,0,0,-114,214,35.17,1,0,8,11,0,30,0,0,0.414,6,2,0
10.1101/2020.07.09.193722,3.6,-71,102,-926,1059,5,0,0,0,1,1,1,1,0,0,0,-116,149,33.78,1,0,6,5,1,21,0,1,0.389327094,9,2,0
10.1101/2020.07.09.194563,8.3,-75,111,-1329,1562,8,0,0,0,1,1,1,1,1,1,0,-294,386,27.15,0.0001,0,1,0,0,54,0,0,0.606984127,17,2,0
10.1101/2020.07.09.194639,16.55,-63,100,-1715,2046,19,0,0,0,1,1,1,-1,28,16,0,-359,471,22.45,0.0001,0,-1,-1,-1,25,0,0,0.477554113,33,2,1
10.1101/2020.07.09.195263,4,-88,138,-1205,1424,17,0,0,0,1,1,1,6,0,0,0,-286,417,32.83,1,0,21,8,8,55,0,1,0.53026418,13,0.762376238,1
10.1101/2020.07.09.196378,4.7,-36,53,-872,978,6,0,0,0,1,1,1,-1,0,0,0,-162,198,48.84,1,0,-1,-1,-1,0,0,1,0.495606061,12,2,0
