doi,altmetric_score,Full-text_change,Full-text_m1,abstract_change,abstract_m1,author_count,neutral_results,confirmatory_results,contradictory_results,new_results,extend_p,funded,influentialReferencesCount,num_hypo_tested,num_significant,p_val_range,pdf_change,pdf_m1,reading_score,real_p,real_p_sign,reference_background,reference_methodology,reference_result,references_count,sample_size,sentiment,subjectivity,tweets_within_month,univ_rank,published_within_year
10.1101/2020.01.21.914044,94.094,-3257,9618,-1945,14058,9,0,0,0,1,1,0,0,0,0,0,0,0,29.28,1,0,3,0,0,25,0,1,0.463603426,110,0.762376238,0
10.1101/2020.01.21.914929,4,42,7,-316,537,4,0,0,0,1,1,1,-1,12,12,0.0499,41,107,18.45,0.0001,-1,-1,-1,-1,47,3,0,0.480952381,9,2,1
10.1101/2020.01.22.914952,3531.878,-73003,77025,-110928,166230,28,0,0,0,1,1,1,0,0,0,0,-125950,170625,43.02,1,0,0,0,0,14,0,0,0.522556391,3713,2,1
10.1101/2020.01.22.915660,599.398,3709,4051,-25281,36015,3,0,0,0,1,1,0,0,0,0,0,-2018,7626,33.78,1,0,0,0,0,35,0,0,0.302777778,958,2,1
10.1101/2020.01.23.20018549,3433.938,0,0,-494020,574400,5,1,0,0,0,1,0,4,0,0,0,-151782,230160,-6.01,1,0,7,3,1,24,0,0,0.366666667,3223,2,0
10.1101/2020.01.24.915157,60.48,481,754,-2960,8800,7,0,0,0,1,1,0,-1,2,2,0,-999,4016,28.17,0.05,0,-1,-1,-1,14,0,0,0.39135101,53,2,1
10.1101/2020.01.24.919159,97.464,223,193,-993,5172,1,0,0,0,1,1,1,0,0,0,0,295,1542,29.18,1,0,2,0,0,21,0,0,0.524313187,70,0.99009901,1
10.1101/2020.01.25.919688,146.6,1335,327,-1963,5264,2,0,0,0,1,1,0,5,0,0,0,1031,1752,46.27,1,0,3,5,2,16,0,1,0.6,171,2,0
10.1101/2020.01.26.20018887,17.2,0,0,512,728,8,1,0,0,0,1,0,0,0,0,0,270,240,25.19,1,0,0,0,0,11,0,0,0.344791667,19,2,1
10.1101/2020.01.27.20018952,630.73,0,0,15883,9656,9,1,0,0,0,1,1,0,0,0,0,18391,13304,28.33,1,0,0,0,0,9,0,1,0.525,512,2,0
10.1101/2020.01.27.20018986,258.054,0,0,579,6393,3,1,0,0,0,1,1,1,0,0,0,424,2027,43.93,1,0,2,0,0,19,0,0,0.522916667,310,2,1
10.1101/2020.01.27.921536,11.3,54,2,-290,643,3,0,0,0,1,1,1,-1,0,0,0,-26,138,0.35,1,0,-1,-1,-1,31,0,0,0.517045455,21,0.465346535,0
10.1101/2020.01.27.921627,189.2,402,157,1639,3304,7,0,0,0,1,1,0,0,0,0,0,1793,1259,58.92,1,0,0,1,0,42,0,0,0.6375,142,2,0
10.1101/2020.01.28.20019299,502.322,0,0,3412,1341,7,1,0,0,0,1,0,0,0,0,0,2293,532,53.21,1,0,3,0,1,31,0,0,0.414285714,38,2,0
10.1101/2020.01.28.922922,71.5,834,11,3873,2039,9,0,0,0,1,1,0,0,0,0,0,1517,869,33.78,1,0,10,0,0,14,0,1,0.498518519,33,2,0
10.1101/2020.01.28.923011,185.78,2552,0,7194,7576,11,0,0,0,1,1,0,-1,0,0,0,4084,2781,15.75,1,0,-1,-1,-1,15,0,0,0.480692641,86,2,1
10.1101/2020.01.28.923169,23.1,457,0,1182,1602,2,0,0,0,1,1,0,0,0,0,0,585,829,32.57,1,0,1,2,0,5,0,1,0.503443526,12,2,0
10.1101/2020.01.29.924100,41.75,1501,107,2539,4518,2,0,0,0,1,1,1,2,0,0,0,3997,1658,37.68,1,0,11,0,2,18,0,0,0.408333333,30,2,1
10.1101/2020.01.29.925867,121.234,1135,0,7965,1425,2,0,0,0,1,1,0,0,0,0,0,3153,448,22.75,1,0,0,0,0,14,0,0,0.399587605,158,2,0
10.1101/2020.01.30.20019612,145.212,0,0,-978,2721,2,1,0,0,0,1,0,0,0,0,0,-269,939,17.37,1,0,2,1,0,11,0,0,0.54837037,14,0.841584158,0
10.1101/2020.01.30.20019828,3.5,0,0,-2059,2771,1,1,0,0,0,1,0,0,0,0,0,-1425,1756,53.71,1,0,0,0,0,7,0,0,0.69,8,2,0
10.1101/2020.01.30.20019836,7.1,0,0,-2963,4457,7,1,0,0,0,1,1,0,0,0,0,-1503,2757,50.97,1,0,3,1,0,11,0,1,0.615643939,24,2,0
10.1101/2020.01.30.20019844,593.89,0,0,5824,10117,22,1,0,0,0,0,1,0,5,5,0,2678,3228,21.94,0.01,-1,0,0,0,26,171,0,0.290384615,423,2,1
10.1101/2020.01.30.927574,3,-195,415,-1775,3056,5,0,0,0,1,1,1,0,0,0,0,-692,1423,13.96,1,0,2,3,0,9,0,0,0.277819865,5,0.841584158,0
10.1101/2020.01.30.927806,313.44,49,1143,-370,10619,12,0,0,0,1,1,0,2,0,0,0,-104,3672,24.31,1,0,5,2,1,38,0,1,0.641247086,106,2,0
10.1101/2020.01.30.927889,22.5,-113,364,-1795,3136,4,0,0,0,1,1,1,0,1,0,0,-1723,2914,43.12,1,0,0,0,0,35,512,0,0.671038961,13,0.168316832,0
10.1101/2020.01.31.20019935,35.63,0,0,-2266,3786,3,1,0,0,0,1,0,0,5,5,0.0299,-1201,1968,29.08,0.0001,-1,0,0,0,26,288,0,0.209782609,35,2,0
10.1101/2020.01.31.928796,23.2,-41,260,-1388,2713,9,0,0,0,1,1,0,1,0,0,0,-327,843,30.09,1,0,1,9,0,17,0,1,0.330052404,49,2,1
10.1101/2020.01.31.929042,529.48,2108,3151,4681,16176,6,0,0,0,1,1,1,0,1,0,0,-412,12988,27.83,0.05,0,0,0,0,40,0,1,0.52375,492,2,1
10.1101/2020.01.31.929497,13.8,-222,500,-4150,5649,5,0,0,0,1,1,0,0,0,0,0,-1664,2044,54.56,1,0,0,0,0,8,0,1,0.569444444,65,2,0
10.1101/2020.01.31.929695,11.35,461,312,-1535,3645,5,0,0,0,1,1,0,1,0,0,0,-638,2694,30.54,1,0,10,0,1,24,0,0,0.618055556,24,2,0
10.1101/2020.02.01.20019984,4.25,0,0,-1159,1821,8,1,0,0,0,1,1,0,0,0,0,-730,976,46.2,1,0,9,2,0,20,0,0,0.408587963,7,2,0
10.1101/2020.02.01.929976,48.2,-42,663,1256,8241,7,0,0,0,1,1,0,0,0,0,0,187,2983,37.5,1,0,0,0,0,27,0,0,0.3515,40,2,0
10.1101/2020.02.01.930537,1,-1207,1876,-2440,4162,2,0,0,0,1,1,1,5,0,0,0,0,0,12.6,1,0,8,6,0,23,0,0,0.304338415,11,2,0
10.1101/2020.02.02.931162,11.65,59,776,-3947,8030,2,0,0,0,1,1,1,3,0,0,0,-1641,2973,20.01,1,0,10,9,2,20,0,1,0.417962963,22,2,1
10.1101/2020.02.03.20019141,38.85,0,0,-3091,4254,33,1,0,0,0,1,1,0,0,0,0,-937,1970,36.69,1,0,0,0,0,20,0,0,0.514430014,50,2,0
10.1101/2020.02.03.20019497,169.48,0,0,-735,4297,3,1,0,0,0,1,0,0,0,0,0,-13,1994,33.24,1,0,3,1,0,10,0,0,0.499450549,54,2,1
10.1101/2020.02.03.20020206,4.75,0,0,-1490,2347,8,1,0,0,0,1,0,1,0,0,0,-756,1350,22.14,1,0,5,2,0,13,0,0,0.471875,9,2,0
10.1101/2020.02.03.20020248,351.66,0,0,4145,2732,11,1,0,0,0,1,0,-1,0,0,0,2259,1115,36.59,1,0,-1,-1,-1,7,0,0,0.431818182,73,2,1
10.1101/2020.02.03.20020263,62.85,0,0,-400,3582,6,1,0,0,0,1,0,4,8,8,0,788,2908,9.11,0.001,0,68,15,1,93,0,0,0.4576,99,2,1
10.1101/2020.02.03.20020271,21.2,0,0,1258,1551,3,1,0,0,0,1,0,-1,0,0,0,-181,575,32.67,1,0,-1,-1,-1,0,0,0,0.425,37,2,0
10.1101/2020.02.03.20020289,41.5,0,0,1402,1965,9,1,0,0,0,1,1,-1,0,0,0,51,882,28.88,1,0,-1,-1,-1,14,0,0,0.431294643,64,2,1
10.1101/2020.02.03.931766,19.5,-763,1278,-3230,6748,13,0,0,0,1,1,0,3,0,0,0,-2198,3692,21.02,1,0,10,1,2,15,0,0,0.435119048,27,2,0
10.1101/2020.02.04.20020339,6.65,0,0,-911,1775,8,1,0,0,0,1,1,2,0,0,0,-663,1108,33.38,1,0,6,0,1,28,0,0,0.508677686,10,2,1
10.1101/2020.02.04.20020461,3.25,0,0,-2579,4718,1,1,0,0,0,1,0,4,0,0,0,-777,1892,45.76,1,0,6,6,5,25,0,0,0.511848073,10,2,0
10.1101/2020.02.04.20020495,604.946,0,0,-13814,20293,2,1,0,0,0,1,0,0,0,0,0,-13715,18806,9.08,1,0,1,0,0,10,0,0,0.334090909,245,2,1
10.1101/2020.02.04.933135,71.8,-299,633,-3213,5049,6,0,0,1,0,1,1,0,0,0,0,-1574,2362,30.2,1,0,7,4,2,29,0,0,0.425,61,2,1
10.1101/2020.02.04.934232,7.55,108,327,-614,3297,7,0,0,0,1,1,1,5,0,0,0,214,966,29.38,1,0,47,19,0,93,0,0,0.331013258,18,2,1
10.1101/2020.02.05.20020545,6.1,0,0,-647,2901,18,1,0,0,0,1,0,1,0,0,0,-294,1655,9.93,1,0,14,3,0,23,0,0,0.373845599,8,2,0
10.1101/2020.02.05.20020750,40.25,0,0,1449,5939,16,1,0,0,0,1,0,0,0,0,0,1110,2141,63.02,1,0,0,0,0,18,0,1,0.458333333,38,2,1
10.1101/2020.02.05.20020792,70.25,0,0,-4433,5918,14,1,0,0,0,1,1,0,0,0,0,-1537,1998,26.61,1,0,2,2,0,25,0,0,0.268921569,53,2,1
10.1101/2020.02.05.920009,7.05,-32,124,-1364,2084,3,0,0,0,1,1,0,0,1,0,0,-210,595,20.62,1,0,0,0,0,45,0,1,0.477969697,12,2,1
10.1101/2020.02.05.935387,55.65,360,400,-1668,4039,26,0,0,0,1,1,1,1,10,10,0.049,1446,1529,24.92,0.001,-1,0,0,0,56,4,0,0.489807163,103,2,0
10.1101/2020.02.05.936013,25.95,105,388,-1312,3294,5,0,0,0,1,1,1,2,0,0,0,-383,1758,45.15,1,0,15,11,0,29,0,0,0.428571429,23,0.168316832,0
10.1101/2020.02.06.20020941,19.65,0,0,-3284,4413,2,1,0,0,0,1,0,2,0,0,0,-889,1470,31.31,1,0,2,7,3,10,0,1,0.426190476,29,0.97029703,0
10.1101/2020.02.06.20020974,3062.65,0,0,-211706,292745,37,1,0,0,0,1,0,2,12,11,0.049,-107550,139660,29.75,0.001,-1,8,0,1,24,1099,0,0.542307692,2807,2,1
10.1101/2020.02.07.20021071,41.95,0,0,-1006,3629,9,1,0,0,0,1,1,0,0,0,0,-692,3467,12.46,1,0,0,1,0,14,0,0,0.450757576,51,2,0
10.1101/2020.02.07.20021154,2555.064,0,0,-77495,119424,6,1,0,0,0,1,1,4,0,0,0,-59583,86651,25.08,1,0,10,5,3,19,0,0,0.37756734,2570,2,1
10.1101/2020.02.07.20021188,2.35,0,0,-433,1010,1,1,0,0,0,1,0,0,0,0,0,-148,445,36.49,1,0,0,0,0,13,0,0,0.356547619,2,2,0
10.1101/2020.02.07.20021196,2.35,0,0,-692,1487,3,1,0,0,0,1,0,0,0,0,0,-247,687,46.3,1,0,0,0,0,10,0,0,0.323306595,6,2,0
10.1101/2020.02.07.937862,1629.934,1454,3269,-25541,68429,17,0,0,0,1,1,1,0,0,0,0,-5282,32374,9.32,1,0,0,0,0,45,0,0,0.419117647,1293,2,1
10.1101/2020.02.07.939124,21.9,36,67,-1114,1843,8,0,0,0,1,1,1,1,0,0,0,-153,470,29.18,1,0,2,8,1,17,0,1,0.360179924,45,2,1
10.1101/2020.02.07.939207,191.18,-508,1924,-4091,13079,5,0,0,0,1,1,1,0,0,0,0,-9165,12848,29.38,1,0,1,0,0,17,0,0,0.623333333,148,2,0
10.1101/2020.02.07.939389,222.7,705,340,3783,6692,48,0,0,0,1,1,0,-1,4,4,0.049,1253,3943,32.83,0.001,-1,-1,-1,-1,12,19,0,0.456944444,274,2,1
10.1101/2020.02.08.20021212,223.46,0,0,1359,5409,24,1,0,0,0,1,1,3,135,63,0.049,-267,2416,23.19,0.001,-1,7,2,0,37,193,1,0.552939245,130,2,0
10.1101/2020.02.08.20021253,22.9,0,0,-600,2484,10,1,0,0,0,1,0,-1,0,0,0,214,929,-6.77,1,0,-1,-1,-1,12,0,0,0.436111111,16,0.762376238,1
10.1101/2020.02.08.20021311,2.35,0,0,-470,989,5,1,0,0,0,1,0,0,0,0,0,24,399,33.85,1,0,0,2,0,7,0,0,0.262244898,3,2,0
10.1101/2020.02.08.926006,18.83,1497,525,-1959,4109,17,0,0,0,1,1,0,0,0,0,0,46,1527,32.02,1,0,2,0,0,55,0,1,0.529,17,2,0
10.1101/2020.02.08.939553,18.85,72,294,-484,3086,17,0,0,0,1,1,1,5,0,0,0,-249,1111,33.88,1,0,31,16,3,49,0,1,0.358928571,19,2,0
10.1101/2020.02.08.939660,14.68,-1,34,-930,3021,7,0,0,0,1,1,1,-1,0,0,0,-318,942,34.26,1,0,-1,-1,-1,0,0,0,0.373076923,13,2,0
10.1101/2020.02.09.20021261,241.28,0,0,-3655,8460,15,1,0,0,0,0,0,0,2,2,0,-1362,5073,23.5,1.00E-06,0,0,0,1,31,0,0,0.348529412,205,0.782178218,1
10.1101/2020.02.09.20021360,22.85,0,0,-1577,2500,9,1,0,0,0,1,0,4,2,2,0,-799,1463,46.71,0.0001,0,19,6,1,24,0,0,0.484117965,12,2,0
10.1101/2020.02.09.20021477,20.3,0,0,-1283,2289,3,1,0,0,0,1,0,0,0,0,0,-315,904,39.77,1,0,7,0,0,18,0,0,0.409722222,13,2,0
10.1101/2020.02.10.20021519,8.8,0,0,-818,1500,2,1,0,0,0,1,0,3,0,0,0,-189,694,27.52,1,0,6,1,0,12,0,0,0.497250281,9,2,0
10.1101/2020.02.10.20021584,234.85,0,0,15230,4490,22,1,0,0,0,1,0,3,7,3,0.96722,5542,2159,41.8,0.00028,0,10,0,2,20,61,0,0.457638889,150,2,1
10.1101/2020.02.10.20021675,1788.2,0,0,-41639,60326,14,1,0,0,0,1,0,0,0,0,0,-26423,33269,58.11,1,0,0,0,0,29,0,0,0.566666667,2369,2,0
10.1101/2020.02.10.20021774,46.5,0,0,-2508,3208,2,1,0,0,0,1,0,-1,0,0,0,-1155,1511,45.05,1,0,-1,-1,-1,0,0,0,0.317765152,54,2,0
10.1101/2020.02.10.20021832,16.2,0,0,-965,3521,14,1,0,0,0,1,1,0,3,2,0,-271,1948,48.84,0.05,0,0,0,0,6,0,0,0.537723214,13,2,0
10.1101/2020.02.10.942136,37.2,445,240,-891,2514,9,0,0,0,1,1,1,2,0,0,0,-262,1357,20.01,1,0,41,5,3,85,0,0,0.529017857,17,2,0
10.1101/2020.02.10.942185,66.5,693,192,5026,2230,4,0,0,0,1,1,1,7,0,0,0,911,879,29.99,1,0,46,5,6,63,0,0,0.356666667,48,0.811881188,1
10.1101/2020.02.10.942748,40.458,-289,527,-1576,3186,7,0,0,0,1,1,1,0,0,0,0,-240,1301,33.58,1,0,0,0,0,53,0,0,0.448525253,50,2,0
10.1101/2020.02.11.20020735,8.7,0,0,-980,3098,7,1,0,0,0,1,0,0,0,0,0,141,744,36.63,1,0,0,3,0,31,0,0,0.32172619,13,2,1
10.1101/2020.02.11.20021493,749.122,0,0,3101,3926,30,1,0,0,0,1,0,0,0,0,0,1702,1687,41.29,1,0,0,0,0,13,0,0,0.567107438,208,2,1
10.1101/2020.02.11.20022053,13.95,0,0,-1305,2406,9,1,0,0,0,1,1,0,4,3,0.847,-497,1125,41.7,0.005,0,0,0,0,10,17,0,0.380555556,7,2,0
10.1101/2020.02.11.20022111,3.1,0,0,-1933,2495,7,1,0,0,0,1,0,-1,0,0,0,-709,940,0,1,0,-1,-1,-1,0,0,-1,-1,5,2,0
10.1101/2020.02.11.20022186,114.43,0,0,42723,9992,4,1,0,0,0,1,0,-1,0,0,0,8195,3127,17.91,1,0,-1,-1,-1,22,0,0,0.529305556,97,2,1
10.1101/2020.02.11.20022228,11.2,0,0,-427,2245,4,1,0,0,0,1,1,0,0,0,0,134,772,39.67,1,0,1,0,0,7,0,0,0.324242424,14,2,0
10.1101/2020.02.11.20022236,8.3,0,0,-578,1424,5,1,0,0,0,1,0,0,0,0,0,-9,717,42.72,1,0,3,0,0,8,0,1,0.358838384,7,2,1
10.1101/2020.02.11.944462,636.18,-2258,4044,-51206,57339,8,0,0,0,1,1,1,2,0,0,0,-14952,19933,23.87,1,0,20,8,0,40,0,0,0.22202381,685,2,1
10.1101/2020.02.12.20021386,585.502,0,0,2013,2750,8,1,0,0,0,1,0,0,5,4,0.169,100,960,45.15,0.001,-1,0,0,0,26,46,0,0.473406593,559,2,0
10.1101/2020.02.12.20021931,3.6,0,0,-43,1361,1,1,0,0,0,1,0,0,0,0,0,1128,610,31.31,1,0,3,7,0,10,0,0,0.474626984,12,2,1
10.1101/2020.02.12.20022277,6.2,0,0,-2132,3156,4,1,0,0,0,1,0,-1,0,0,0,-568,1169,43.43,1,0,-1,-1,-1,10,0,0,0.445833333,12,0.762376238,1
10.1101/2020.02.12.20022327,680.43,0,0,963,9452,23,1,0,0,0,0,0,0,1,0,0,-5938,10551,31.62,0.052,0,0,0,0,12,8274,0,0.51043771,792,2,0
10.1101/2020.02.12.20022418,1950.83,0,0,-111255,223972,5,1,0,0,0,1,0,1,0,0,0,-7147,52807,28.17,1,0,12,4,0,20,0,0,0.453767175,2241,2,1
10.1101/2020.02.12.20022467,1074.8,0,0,18370,9157,7,1,0,0,0,1,0,0,0,0,0,13108,2385,21.26,1,0,4,2,0,11,0,0,0.571666667,653,2,0
10.1101/2020.02.12.945576,270.73,550,64,2974,1204,10,0,0,0,1,1,0,0,57,41,0.8911,1292,429,21.43,0.0001,-1,0,0,0,29,21,0,0.604449761,76,0.207920792,1
10.1101/2020.02.12.946087,7.75,671,220,2940,2165,6,0,0,0,1,1,0,1,0,0,0,1253,687,22.34,1,0,9,5,0,22,0,1,0.395789474,27,2,1
10.1101/2020.02.13.20022251,7.65,0,0,-887,2376,1,1,0,0,0,1,0,-1,0,0,0,-308,786,71.34,1,0,-1,-1,-1,3,0,0,0.263852814,9,2,0
10.1101/2020.02.13.20022673,7.95,0,0,348,1893,19,1,0,0,0,0,1,0,2,2,0,311,935,37.71,0.001,0,16,1,0,26,0,0,0.37976059,14,2,0
10.1101/2020.02.13.20022707,662.23,0,0,-5648,18293,4,1,0,0,0,1,1,0,0,0,0,-2981,7380,21.36,1,0,0,0,0,12,0,0,0.354064626,287,2,0
10.1101/2020.02.13.20022715,160.51,0,0,2322,1795,8,1,0,0,0,1,0,0,0,0,0,-356,3075,21.67,1,0,2,0,0,11,0,1,0.34711507,142,2,0
10.1101/2020.02.13.20022822,71.85,0,0,-1634,2490,1,1,0,0,0,1,0,0,1,1,0,448,523,33.24,0.04997,0,3,3,0,7,0,0,0.272692308,67,2,1
10.1101/2020.02.13.20022830,12.15,0,0,-279,1919,8,1,0,0,0,1,0,0,3,3,0.011,516,604,30.64,0.004,0,0,0,0,6,53,0,0.513890693,19,2,0
10.1101/2020.02.14.20021535,5.8,0,0,-637,1810,6,1,0,0,0,1,1,1,21,12,0,-135,835,48.13,0,0,4,0,0,30,356,0,0.496722222,8,2,0
10.1101/2020.02.14.20023028,181.414,0,0,14615,4204,11,1,0,0,0,1,0,-1,0,0,0,6836,1675,13.28,1,0,-1,-1,-1,19,0,0,0.497294372,164,2,0
10.1101/2020.02.14.20023036,125.426,0,0,4009,1481,3,1,0,0,0,1,0,-1,0,0,0,2362,632,27.08,1,0,-1,-1,-1,15,0,0,0.405676692,96,2,1
10.1101/2020.02.14.20023127,178.208,0,0,11115,4505,7,1,0,0,0,1,0,1,0,0,0,4253,1256,9.22,1,0,11,5,0,25,0,0,0.469791667,107,0.900990099,1
10.1101/2020.02.14.20023168,2.5,0,0,151,731,2,1,0,0,0,1,0,1,0,0,0,156,296,47.38,1,0,2,0,0,3,0,0,0.442348485,5,0.762376238,0
10.1101/2020.02.15.20023234,5.1,0,0,-571,1372,5,1,0,0,0,1,0,0,0,0,0,-35,657,25.32,1,0,0,0,0,14,0,0,0.409249084,9,2,1
10.1101/2020.02.15.20023333,3.35,0,0,-74,728,10,1,0,0,0,1,0,0,15,15,0.011,141,193,31.41,0,-1,6,0,2,13,4245,1,0.495285714,9,2,0
10.1101/2020.02.15.20023440,6.7,0,0,-590,1400,1,1,0,0,0,1,1,8,0,0,0,264,629,34.05,1,0,9,6,3,18,0,0,0.396421108,9,2,0
10.1101/2020.02.15.20023457,2,0,0,249,425,16,1,0,0,0,1,0,3,3,2,0,310,226,37.94,0.05,0,16,1,0,24,0,0,0.506786616,6,2,0
10.1101/2020.02.15.20023499,8.7,0,0,-47,1579,4,1,0,0,0,1,0,0,0,0,0,207,798,46.81,1,0,8,0,1,20,0,0,0.176190476,13,2,0
10.1101/2020.02.16.20023465,5.55,0,0,100,1175,5,1,0,0,0,1,1,1,0,0,0,542,511,40.89,1,0,1,5,0,40,0,0,0.362301587,9,2,0
10.1101/2020.02.16.20023564,4.6,0,0,-514,1411,5,1,0,0,0,1,1,-1,0,0,0,-34,611,35.91,1,0,-1,-1,-1,20,0,1,0.651319514,10,2,1
10.1101/2020.02.16.20023606,5.95,0,0,1056,2719,1,1,0,0,0,1,0,0,0,0,0,2317,1229,13.28,1,0,0,6,0,19,0,0,0.408333333,8,2,0
10.1101/2020.02.16.20023614,4.1,0,0,-708,1657,3,1,0,0,0,1,0,3,0,0,0,-30,527,51.18,1,0,10,0,0,18,0,0,0.456589147,8,2,0
10.1101/2020.02.16.20023655,2.5,0,0,228,823,3,1,0,0,0,1,0,1,0,0,0,688,279,24.92,1,0,5,1,0,9,0,0,0.391302448,5,2,0
10.1101/2020.02.16.951723,42.8,244,125,288,1885,8,0,0,0,1,1,0,0,0,0,0,816,857,17.23,1,0,0,0,0,39,0,1,0.437674299,28,2,0
10.1101/2020.02.16.951913,7,300,75,-146,1386,4,0,0,0,1,1,0,-1,1,1,0,219,448,27.56,0.01,0,-1,-1,-1,40,0,0,0.381324675,20,2,1
10.1101/2020.02.17.20023747,27,0,0,-2419,4574,3,1,0,0,0,1,1,1,0,0,0,156,770,46.64,1,0,2,3,2,14,0,0,0.348412698,30,2,0
10.1101/2020.02.17.20024018,2.25,0,0,5,1155,14,1,0,0,0,1,1,-1,16,11,0,252,530,15.81,0.001,0,-1,-1,-1,16,0,0,0.425897436,6,2,1
10.1101/2020.02.17.20024034,2.6,0,0,-434,1072,0,1,0,0,0,1,0,0,0,0,0,-155,400,27.53,1,0,5,0,0,22,0,0,0.763541667,7,2,0
10.1101/2020.02.17.20024075,10.5,0,0,702,1071,5,1,0,0,0,1,0,0,0,0,0,252,482,29.28,1,0,5,1,0,24,0,0,0.229166667,8,0.752475248,0
10.1101/2020.02.17.20024166,211.68,0,0,5605,3431,8,1,0,0,0,1,1,0,3,0,0,11999,1511,43.83,0.05,0,0,0,0,20,109,0,0.547058824,36,2,0
10.1101/2020.02.17.20024257,10.35,0,0,79,1145,6,1,0,0,0,1,0,-1,0,0,0,369,481,22.92,1,0,-1,-1,-1,16,0,0,0.478796296,4,0.762376238,1
10.1101/2020.02.17.951335,802.274,1267,489,10875,11202,26,0,0,0,1,1,0,0,0,0,0,1031,3520,39.87,1,0,0,0,0,30,0,0,0.406353535,124,2,0
10.1101/2020.02.17.951848,49.25,455,562,-9173,11548,5,0,0,0,1,1,1,7,0,0,0,-4305,6456,34.36,1,0,23,0,1,34,0,0,0.406006494,55,2,0
10.1101/2020.02.17.951939,11.33,242,42,-149,1067,11,0,0,0,1,1,1,0,2,2,0,137,275,30.36,0.05,0,0,0,0,9,0,0,0.475,8,2,0
10.1101/2020.02.17.952879,147.6,881,119,1586,1906,5,0,0,0,1,1,1,0,0,0,0,866,716,41.9,1,0,5,2,1,15,0,1,0.515151515,37,2,0
10.1101/2020.02.18.20024281,0.5,0,0,141,694,15,1,0,0,0,1,1,4,0,0,0,109,176,38.35,1,0,7,2,0,38,0,0,0.411962482,5,2,1
10.1101/2020.02.18.20024315,18.75,0,0,243,2391,14,1,0,0,0,1,1,1,0,0,0,-39,1058,31.85,1,0,4,5,0,23,0,0,0.413666667,22,2,0
10.1101/2020.02.18.20024414,23.73,0,0,12752,2229,2,1,0,0,0,1,1,0,3,0,0,3098,450,7.39,0,0,7,0,4,21,0,1,0.405379189,26,2,1
10.1101/2020.02.18.20024448,10.25,0,0,923,1199,4,1,0,0,0,1,1,2,11,11,0.032,943,457,11.48,0.001,-1,11,2,1,30,510,1,0.373581267,16,2,1
10.1101/2020.02.18.20024570,8.33,0,0,262,1010,5,1,0,0,0,1,1,-1,0,0,0,354,363,24.31,1,0,-1,-1,-1,14,0,1,0.246969697,6,2,1
10.1101/2020.02.18.20024661,3.1,0,0,-188,870,7,1,0,0,0,1,0,0,14,3,0,104,267,37.74,0,0,8,0,0,23,0,1,0.462333333,6,2,1
10.1101/2020.02.18.954628,246.09,471,290,208,3902,9,0,0,0,1,1,0,0,0,0,0,-129,1868,30.2,1,0,17,1,0,31,0,0,0.616208791,303,2,1
10.1101/2020.02.19.20024885,105.05,0,0,777,2771,18,1,0,0,0,1,1,1,5,5,0,8695,993,59.94,0.05,-1,10,0,1,19,88,0,0.65,142,2,0
10.1101/2020.02.19.20025031,6.3,0,0,-483,2031,28,1,0,0,0,1,0,0,2,2,0.049,66,797,34.76,0.001,-1,0,0,0,17,243,0,0.408833333,6,2,0
10.1101/2020.02.19.20025148,18.65,0,0,2095,1022,5,1,0,0,0,1,0,-1,1,1,0,632,210,37.94,0.05,0,-1,-1,-1,0,0,0,0.334166667,9,2,0
10.1101/2020.02.19.20025155,30.55,0,0,4310,1082,4,1,0,0,0,1,0,0,0,0,0,3637,493,36.89,1,0,1,0,0,8,0,0,0.403571429,27,2,1
10.1101/2020.02.19.20025163,21.51,0,0,5248,592,2,1,0,0,0,1,0,0,0,0,0,1417,175,33.17,1,0,0,1,0,23,0,0,0.407424242,9,2,0
10.1101/2020.02.19.20025262,1.6,0,0,300,507,6,1,0,0,0,1,1,0,0,0,0,272,108,41.9,1,0,5,0,0,16,0,0,0.306442242,6,2,0
10.1101/2020.02.19.20025395,19.93,0,0,1718,926,2,1,0,0,0,1,0,1,6,5,0.049,1813,215,33.54,0.001,-1,9,0,1,30,7236,0,0.352954545,3,2,1
10.1101/2020.02.19.955484,59.03,462,159,772,2437,3,0,0,0,1,1,0,5,12,5,0,779,1089,35.17,0.01,0,20,9,2,50,1236,0,0.595632184,52,2,0
10.1101/2020.02.19.956235,23,1118,492,-2312,6304,11,0,0,0,1,1,1,0,0,0,0,-421,3080,32.57,1,0,0,0,0,27,0,0,0.424102564,22,0.772277228,1
10.1101/2020.02.19.956946,45.83,233,493,-3839,7908,5,0,0,0,1,1,1,2,1,0,0,-636,3216,46.81,0,0,5,0,2,9,0,0,0.348863636,47,2,0
10.1101/2020.02.20.20023572,1.6,0,0,219,977,3,1,0,0,0,1,0,1,0,0,0,532,316,44.54,1,0,3,0,0,11,0,1,0.377777778,4,2,0
10.1101/2020.02.20.20025338,16.85,0,0,2815,608,15,1,0,0,0,1,0,2,22,22,0.04,1296,273,29.38,0,-1,5,0,1,25,5062,0,0.442307692,24,2,1
10.1101/2020.02.20.20025536,0.75,0,0,1041,859,16,1,0,0,0,1,0,2,10,6,0,595,401,20.45,0.001,0,6,0,4,22,51,1,0.487312925,4,2,0
10.1101/2020.02.20.20025593,3.1,0,0,-34,879,10,1,0,0,0,1,0,-1,5,1,0.87,239,127,3.16,0,0,-1,-1,-1,21,2861,0,0.541428571,13,2,1
